,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
0,499,0,1,31.0,4,0.0,1,1.0,0.0,25950.49,0
1,660,0,1,34.0,1,0.0,2,1.0,0.0,9692.58,0
2,564,1,1,40.0,7,108407.34,1,1.0,1.0,83681.2,0
3,470,2,1,30.0,4,125385.01,1,1.0,0.0,68293.93,0
4,657,2,1,40.0,10,0.0,2,1.0,1.0,52990.7,0
5,567,2,1,34.0,10,0.0,2,0.0,1.0,161571.79,0
6,621,0,0,43.0,5,0.0,1,1.0,1.0,47578.45,0
7,792,1,1,36.0,5,115725.24,2,0.0,0.0,1871.25,0
8,598,0,0,34.0,4,0.0,2,0.0,0.0,60894.26,0
9,524,0,1,29.0,7,0.0,2,1.0,1.0,105448.74,0
10,544,0,1,30.0,4,73218.89,1,0.0,1.0,126796.69,0
11,604,2,1,40.0,5,155455.43,1,0.0,1.0,113581.85,0
12,569,2,0,34.0,3,0.0,1,1.0,0.0,133997.53,0
13,590,0,1,32.0,5,0.0,2,1.0,0.0,59249.83,0
14,732,1,0,42.0,2,118889.66,2,0.0,0.0,87422.15,0
15,454,2,0,48.0,5,144837.79,1,1.0,1.0,93151.77,0
16,769,0,0,73.0,1,0.0,1,1.0,1.0,29792.11,0
17,850,0,0,32.0,5,106290.64,1,1.0,0.0,121982.73,0
18,714,1,1,42.0,2,177640.09,1,0.0,1.0,47166.55,0
19,683,0,1,31.0,2,0.0,2,0.0,1.0,77326.78,0
20,552,0,1,29.0,10,0.0,2,1.0,0.0,12186.83,0
21,666,1,1,38.0,6,99812.88,2,1.0,1.0,158357.97,0
22,643,2,0,32.0,2,0.0,1,0.0,0.0,131301.74,0
23,508,0,1,31.0,8,72541.48,1,1.0,0.0,129803.08,0
24,613,2,1,34.0,8,117300.02,1,1.0,0.0,139410.08,0
25,651,1,1,37.0,9,114453.58,1,0.0,1.0,175820.91,0
26,699,0,1,34.0,2,117468.67,1,1.0,0.0,185227.42,0
27,696,0,1,44.0,8,161889.79,1,0.0,0.0,75562.47,0
28,690,2,0,36.0,10,91760.11,1,1.0,1.0,135784.94,0
29,559,0,0,29.0,3,79715.36,1,1.0,0.0,82252.28,0
30,708,0,0,34.0,4,0.0,1,1.0,1.0,62868.33,0
31,528,0,0,26.0,10,102073.67,2,0.0,0.0,166799.93,0
32,818,1,0,72.0,8,135290.42,2,1.0,1.0,63729.72,0
33,624,0,1,37.0,0,0.0,2,0.0,0.0,112104.55,0
34,611,0,1,53.0,3,83568.26,1,0.0,0.0,1235.49,0
35,763,0,0,23.0,2,0.0,2,1.0,0.0,153983.99,0
36,548,0,0,35.0,10,0.0,1,1.0,1.0,31299.71,0
37,652,1,1,36.0,9,150956.71,1,0.0,0.0,72350.17,0
38,495,2,0,42.0,7,0.0,2,0.0,0.0,130404.53,0
39,542,2,1,35.0,2,174894.53,1,1.0,1.0,22314.55,0
40,555,0,1,55.0,4,146798.81,1,1.0,1.0,74149.77,0
41,789,1,1,33.0,8,151607.56,1,1.0,0.0,4389.4,0
42,761,0,0,33.0,6,138053.79,2,1.0,0.0,148779.41,0
43,738,2,0,33.0,3,122134.4,2,0.0,1.0,27867.59,0
44,848,2,1,35.0,5,120046.74,2,1.0,0.0,84710.65,0
45,639,0,1,35.0,8,0.0,2,1.0,0.0,170483.9,0
46,652,0,0,40.0,1,0.0,2,1.0,0.0,126554.96,0
47,850,2,1,35.0,7,110349.82,1,0.0,0.0,126355.8,0
48,666,1,0,21.0,1,121827.43,2,1.0,1.0,99818.31,0
49,705,2,1,33.0,7,68423.89,1,1.0,1.0,64872.55,0
50,722,1,0,37.0,0,125977.81,1,0.0,0.0,160162.42,0
51,745,1,1,51.0,3,99183.9,1,1.0,1.0,28922.25,0
52,668,0,1,42.0,3,150461.07,1,1.0,0.0,108139.23,0
53,786,2,1,29.0,7,80895.44,2,1.0,0.0,64945.57,0
54,783,0,0,72.0,5,121215.9,2,1.0,1.0,105206.48,0
55,711,0,0,39.0,3,152462.79,1,1.0,0.0,90305.97,0
56,686,2,1,39.0,10,136258.06,1,0.0,0.0,89199.51,0
57,627,1,1,28.0,5,71097.23,1,1.0,1.0,130504.49,0
58,511,0,0,33.0,3,0.0,2,1.0,0.0,132436.71,0
59,645,1,1,28.0,7,117466.03,2,1.0,1.0,34490.06,0
60,746,0,0,32.0,4,0.0,2,1.0,1.0,72909.75,0
61,631,0,1,32.0,10,0.0,2,0.0,1.0,196342.66,0
62,649,0,1,37.0,9,87374.88,2,1.0,1.0,247.36,0
63,499,1,0,55.0,4,126817.65,2,1.0,0.0,123269.71,0
64,698,1,0,36.0,7,121263.62,1,1.0,1.0,13387.88,0
65,600,0,1,49.0,7,90218.9,1,1.0,0.0,91347.76,0
66,583,1,1,39.0,8,102945.01,1,0.0,0.0,52861.89,0
67,543,0,0,34.0,8,0.0,2,0.0,1.0,145601.8,0
68,604,0,1,30.0,5,0.0,2,1.0,0.0,75786.55,0
69,557,0,0,46.0,4,96173.17,2,1.0,1.0,116378.31,0
70,752,1,1,30.0,4,81523.38,1,1.0,1.0,36885.85,0
71,631,2,1,23.0,3,0.0,2,1.0,0.0,13813.24,0
72,732,2,0,67.0,1,0.0,2,1.0,1.0,177783.04,0
73,502,1,0,32.0,1,173340.83,1,0.0,1.0,122763.95,0
74,726,0,0,38.0,5,126875.62,1,1.0,0.0,128052.29,0
75,640,1,1,45.0,8,120591.19,1,0.0,0.0,195123.94,0
76,570,1,1,35.0,6,85668.59,1,1.0,0.0,105525.36,0
77,845,0,0,28.0,9,0.0,2,1.0,1.0,56185.98,0
78,620,0,1,41.0,0,97925.11,1,1.0,0.0,85000.32,0
79,756,1,0,39.0,5,149363.12,2,1.0,1.0,109098.39,0
80,553,2,1,38.0,1,181110.13,2,1.0,0.0,184544.59,0
81,791,0,0,52.0,7,0.0,1,1.0,1.0,122782.5,0
82,597,0,1,44.0,8,78128.13,2,0.0,1.0,109153.04,0
83,632,0,0,34.0,2,0.0,2,0.0,0.0,165385.55,0
84,431,0,1,63.0,6,160982.89,1,1.0,1.0,168008.17,0
85,715,0,1,34.0,4,124314.45,1,0.0,0.0,97782.92,0
86,750,1,0,37.0,1,133199.71,2,1.0,1.0,27366.77,0
87,666,1,0,59.0,8,152614.51,2,1.0,1.0,188782.3,0
88,703,1,0,26.0,1,97331.19,1,1.0,0.0,63717.49,0
89,554,2,1,37.0,3,0.0,2,1.0,0.0,166177.3,0
90,717,0,0,76.0,9,138489.66,1,1.0,1.0,68400.14,0
91,622,0,0,38.0,4,98640.74,1,1.0,1.0,110457.99,0
92,710,0,0,31.0,3,0.0,2,1.0,1.0,112289.06,0
93,454,2,1,40.0,2,123177.01,1,1.0,0.0,148309.98,0
94,630,0,1,31.0,0,0.0,2,1.0,1.0,34475.14,0
95,825,2,0,32.0,1,0.0,2,1.0,1.0,42935.15,0
96,512,2,1,31.0,6,0.0,2,1.0,0.0,168462.26,0
97,645,0,0,37.0,1,0.0,2,1.0,1.0,68987.55,0
98,684,2,0,41.0,1,134177.06,1,0.0,0.0,177506.66,0
99,725,0,1,37.0,6,124348.38,2,0.0,1.0,176984.34,0
100,757,2,0,44.0,9,0.0,2,1.0,0.0,177528.92,0
101,674,0,0,45.0,6,72494.69,1,0.0,1.0,140041.78,0
102,598,0,0,32.0,4,111156.52,1,1.0,1.0,167376.26,0
