,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
0,696,1,1,31.0,3,150604.52,1,0.0,0.0,5566.6,0
1,850,2,0,31.0,3,121237.65,1,1.0,1.0,31022.56,0
2,710,1,1,34.0,9,134260.36,2,1.0,0.0,147074.67,0
3,619,1,1,41.0,3,147974.16,2,1.0,0.0,170518.83,0
4,670,2,1,30.0,3,133446.34,1,0.0,0.0,3154.95,0
5,725,0,1,37.0,6,124348.38,2,0.0,1.0,176984.34,0
6,684,0,1,38.0,5,105069.98,2,1.0,1.0,198355.28,0
7,627,0,0,57.0,9,0.0,2,1.0,1.0,107712.42,0
8,660,0,0,35.0,6,100768.77,1,1.0,0.0,19199.61,0
9,632,2,0,39.0,5,97854.37,2,1.0,0.0,93536.38,0
10,546,0,1,24.0,8,156325.38,1,1.0,1.0,125381.02,0
11,673,0,0,37.0,10,0.0,2,1.0,1.0,37411.35,0
12,431,0,1,63.0,6,160982.89,1,1.0,1.0,168008.17,0
13,515,0,1,40.0,0,109542.29,1,1.0,1.0,166370.81,0
14,752,0,0,53.0,8,114233.18,1,1.0,1.0,51587.04,0
15,540,1,0,35.0,7,128369.75,2,1.0,0.0,198256.15,0
16,623,0,0,34.0,9,0.0,1,1.0,0.0,24255.21,0
17,728,0,0,28.0,4,142243.54,2,1.0,0.0,33074.51,0
18,694,0,1,38.0,1,0.0,2,0.0,1.0,156858.2,0
19,671,0,1,27.0,5,0.0,2,0.0,0.0,120893.07,0
20,498,2,1,29.0,8,127864.26,1,1.0,1.0,46677.9,0
21,646,2,1,69.0,10,115462.44,1,1.0,0.0,40421.87,0
22,644,2,1,26.0,8,96659.64,2,1.0,1.0,138775.69,0
23,480,1,0,25.0,3,174330.35,2,0.0,0.0,181647.13,0
24,569,2,1,41.0,2,0.0,2,1.0,0.0,134272.57,0
25,661,0,0,37.0,5,136425.18,1,1.0,0.0,81102.81,0
26,850,2,1,36.0,0,0.0,2,1.0,0.0,141242.57,0
27,692,1,1,24.0,2,120596.93,1,0.0,1.0,180490.53,0
28,692,0,1,28.0,5,61581.97,1,1.0,1.0,70179.91,0
29,605,0,1,52.0,7,0.0,2,1.0,1.0,173952.5,0
30,592,1,0,34.0,6,102143.93,2,1.0,1.0,102628.98,0
31,449,2,1,32.0,0,155619.36,1,1.0,1.0,166692.03,0
32,850,0,1,28.0,4,0.0,2,1.0,1.0,12409.01,0
33,486,0,1,63.0,9,97009.15,1,1.0,1.0,85101.0,0
34,794,2,1,31.0,0,144880.34,2,0.0,1.0,175643.44,0
35,828,2,1,28.0,8,134766.85,1,1.0,0.0,79355.87,0
36,539,0,1,39.0,1,0.0,1,1.0,1.0,28184.7,0
37,622,0,1,31.0,7,0.0,1,1.0,0.0,35408.77,0
38,554,0,1,24.0,10,0.0,1,0.0,0.0,92180.62,0
39,621,0,1,40.0,10,163823.37,1,0.0,0.0,89519.47,0
40,746,0,1,37.0,2,0.0,2,1.0,0.0,143194.05,0
41,754,2,0,19.0,9,0.0,1,1.0,0.0,189641.11,0
42,678,0,0,26.0,1,0.0,2,1.0,0.0,45443.68,0
43,630,2,1,32.0,4,82034.0,1,0.0,0.0,146326.45,0
44,448,0,0,36.0,6,83947.12,2,1.0,0.0,81999.53,0
45,746,0,1,36.0,9,127157.04,1,1.0,1.0,155700.15,0
46,691,0,1,30.0,9,0.0,1,1.0,0.0,49594.02,0
47,717,0,1,42.0,5,0.0,2,1.0,0.0,172665.21,0
48,592,0,0,34.0,9,0.0,2,1.0,1.0,20460.2,0
49,524,0,0,36.0,10,0.0,2,1.0,0.0,109614.57,0
50,850,2,0,36.0,2,155180.56,2,0.0,0.0,169415.54,0
51,711,0,1,64.0,4,0.0,2,1.0,1.0,3185.67,0
52,741,2,0,42.0,9,121056.63,2,1.0,0.0,39122.58,0
53,652,0,1,36.0,1,0.0,2,1.0,1.0,151314.98,0
54,727,2,0,41.0,10,0.0,2,0.0,1.0,47468.56,0
55,632,0,1,42.0,4,126115.6,1,1.0,0.0,100998.5,0
56,775,0,1,45.0,8,0.0,1,1.0,0.0,130376.68,0
57,613,0,1,20.0,3,0.0,2,1.0,1.0,149613.77,0
58,718,0,0,67.0,7,0.0,3,1.0,1.0,82782.08,0
59,536,0,1,32.0,7,178011.5,2,1.0,0.0,22375.14,0
60,599,2,0,46.0,7,81742.84,2,1.0,0.0,83282.21,0
61,528,0,1,31.0,6,102016.72,2,0.0,0.0,80181.12,0
62,679,0,1,45.0,3,146758.24,1,1.0,0.0,48466.89,0
63,619,1,0,33.0,3,100488.92,2,0.0,1.0,36446.74,0
64,603,1,0,35.0,9,145623.36,1,1.0,0.0,163181.62,0
65,586,1,1,37.0,8,167735.69,2,0.0,1.0,104665.79,0
66,696,1,0,35.0,4,174902.26,1,1.0,0.0,69079.85,0
67,744,1,0,41.0,2,84113.41,1,1.0,0.0,197548.63,0
68,741,0,1,39.0,5,0.0,1,0.0,1.0,40207.06,0
69,685,1,0,30.0,4,84958.6,2,0.0,1.0,194343.72,0
70,472,0,0,26.0,5,0.0,2,1.0,0.0,108411.66,0
71,736,0,1,27.0,5,51522.75,1,0.0,1.0,192131.77,0
72,632,0,0,21.0,1,0.0,2,1.0,0.0,84008.66,0
73,503,0,1,42.0,8,104430.08,1,1.0,1.0,147557.71,0
74,559,0,0,43.0,1,0.0,1,0.0,1.0,86634.3,0
75,850,2,1,37.0,4,88141.1,1,1.0,0.0,109659.12,0
76,800,0,0,49.0,7,108007.36,1,0.0,0.0,47125.11,0
77,537,2,0,33.0,7,136082.0,1,1.0,0.0,62746.54,0
78,721,0,1,41.0,2,0.0,2,1.0,0.0,168219.75,0
79,670,0,0,54.0,2,95507.12,1,1.0,1.0,63213.31,0
80,716,0,0,23.0,2,94464.81,2,0.0,1.0,185900.88,0
81,619,0,1,43.0,1,125211.92,1,1.0,1.0,113410.49,0
82,780,2,0,33.0,6,145580.61,1,1.0,1.0,154598.56,0
83,594,0,0,49.0,4,0.0,2,1.0,1.0,23631.55,0
84,637,2,0,40.0,6,0.0,2,1.0,1.0,181610.6,0
85,552,0,0,38.0,9,134105.01,1,0.0,0.0,57850.1,0
86,667,1,0,44.0,5,140406.68,2,0.0,1.0,57164.19,0
87,660,0,1,33.0,0,72783.42,1,0.0,0.0,181051.99,0
88,647,0,0,29.0,0,98263.46,2,1.0,0.0,164717.95,0
89,626,2,1,26.0,8,0.0,2,0.0,0.0,191420.71,0
90,577,2,1,41.0,4,89015.61,1,0.0,1.0,135227.23,0
91,477,0,1,27.0,1,128554.98,1,1.0,1.0,133173.19,0
92,549,1,1,45.0,6,124240.93,1,1.0,1.0,146372.51,0
93,670,0,0,50.0,8,138340.06,1,0.0,1.0,3159.15,0
94,634,2,0,41.0,4,0.0,2,1.0,1.0,164549.74,0
95,676,0,0,34.0,8,100359.54,1,0.0,0.0,46038.28,0
96,669,1,1,47.0,0,63723.78,2,1.0,1.0,181928.25,0
97,648,0,0,38.0,2,0.0,2,0.0,1.0,9551.49,0
98,760,1,1,29.0,5,103607.24,2,0.0,1.0,86334.64,0
99,498,1,1,35.0,2,121968.11,2,0.0,1.0,188343.05,0
100,705,0,0,39.0,5,149379.66,2,1.0,0.0,96075.55,0
101,670,2,0,40.0,3,0.0,1,1.0,1.0,182650.15,0
102,850,0,1,46.0,9,117640.39,1,1.0,0.0,88920.68,0
103,719,2,1,40.0,4,128389.12,1,1.0,1.0,176091.31,0
104,670,0,0,31.0,9,0.0,1,0.0,1.0,76254.83,0
105,711,0,1,28.0,8,0.0,2,1.0,1.0,64286.39,0
106,798,0,1,37.0,8,0.0,3,0.0,0.0,110783.28,0
107,519,0,1,48.0,10,71083.98,1,1.0,0.0,137959.0,0
108,714,2,0,31.0,6,152926.6,1,1.0,1.0,50899.91,0
109,850,2,0,32.0,5,0.0,1,1.0,1.0,3830.59,0
110,627,0,1,37.0,2,125190.86,1,0.0,1.0,84584.69,0
111,615,0,1,49.0,3,0.0,2,1.0,1.0,49872.33,0
112,640,0,0,50.0,9,117565.03,2,0.0,0.0,82559.77,0
113,475,0,0,57.0,1,0.0,2,1.0,0.0,89248.99,0
114,745,0,1,47.0,5,0.0,2,0.0,0.0,145789.71,0
115,696,0,0,25.0,8,126442.59,1,1.0,0.0,121904.44,0
116,460,1,0,35.0,8,102742.91,2,1.0,1.0,189339.6,0
117,700,0,0,30.0,9,0.0,1,1.0,1.0,174971.64,0
118,483,0,1,48.0,1,0.0,2,1.0,1.0,110059.38,0
119,643,2,1,48.0,8,0.0,2,1.0,0.0,174729.3,0
120,734,0,1,45.0,2,0.0,2,1.0,0.0,99593.28,0
121,790,2,1,37.0,8,0.0,2,1.0,1.0,149418.41,0
122,677,0,0,36.0,7,0.0,1,1.0,0.0,47318.75,0
123,511,0,0,30.0,5,0.0,2,1.0,0.0,143994.86,0
124,713,0,0,37.0,8,0.0,1,1.0,1.0,16403.41,0
125,751,0,1,42.0,4,0.0,2,1.0,1.0,81442.6,0
126,749,1,0,33.0,10,76692.22,1,0.0,1.0,30396.43,0
127,725,0,0,36.0,1,118851.05,1,1.0,1.0,102747.02,0
128,733,0,1,36.0,5,0.0,2,1.0,1.0,109127.54,0
129,658,1,0,55.0,8,119327.93,1,0.0,1.0,119439.66,0
130,696,1,0,27.0,2,96129.32,2,1.0,1.0,5983.7,0
131,470,2,1,31.0,4,55732.92,2,1.0,1.0,103792.53,0
132,747,0,0,25.0,4,0.0,2,0.0,1.0,42039.67,0
133,709,0,0,40.0,9,131569.63,1,1.0,1.0,103970.58,0
134,666,0,0,27.0,1,85225.21,1,0.0,1.0,64511.44,0
135,555,2,0,24.0,2,0.0,2,0.0,1.0,197866.55,0
136,738,1,1,37.0,7,140950.92,2,1.0,0.0,195333.98,0
137,744,2,1,31.0,0,117551.23,1,1.0,0.0,158958.9,0
138,633,0,1,29.0,10,130206.28,1,1.0,0.0,184654.87,0
139,709,1,1,23.0,8,73314.04,2,1.0,0.0,63446.47,0
140,528,0,1,31.0,9,120962.59,1,1.0,0.0,5419.31,0
141,663,0,1,28.0,4,0.0,2,1.0,1.0,123969.64,0
142,695,1,1,40.0,7,139022.24,1,0.0,1.0,193383.13,0
143,680,2,0,34.0,7,0.0,2,1.0,0.0,98949.85,0
