,dur,proto,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,label
0,0.001045,117,2,2,2,132,164,2870.813285,31,29,505263.125,627751.1875,0,0,0.01,0.009,0.0,0.0,0,0,0,0,0.0,0.0,0.0,66,82,0,0,2,0,5,1,1,2,0,0,0,8,4,0,0
1,0.166914,111,3,78,80,4550,71834,940.604137,31,29,215296.5,3399930.5,7,33,2.16374,2.104494,106.593961,104.365899,255,493030937,2638742708,255,0.000803,0.000648,0.000155,58,898,0,0,11,0,1,1,1,1,0,0,0,7,7,0,0
2,0.508437,111,3,10,6,534,268,29.502181,254,252,7568.292969,3524.527344,2,1,51.794222,85.565602,2761.406778,127.4755,255,2000321373,1977693939,255,0.147787,0.080606,0.067181,53,45,0,0,3,1,3,2,1,3,0,0,0,2,5,0,0
3,0.162221,111,2,6,2,998,86,43.15101,62,252,41030.44531,2120.563965,2,1,32.4442,0.006,1952.411556,0.0,255,1095644016,2097895589,255,0.135455,0.076285,0.05917,166,43,0,0,7,3,3,3,1,6,0,0,0,5,6,0,0
4,0.974413,111,3,10,8,848,1208,17.446401,62,252,6272.494629,8678.044922,2,2,108.268111,130.398289,5662.983615,201.483297,255,2195416421,1477927516,255,0.128201,0.060882,0.067319,85,151,1,183,1,1,1,1,1,1,0,0,1,1,1,0,0
5,1e-05,117,4,2,0,1814,0,100000.0025,254,0,725600000.0,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,907,0,0,0,3,2,1,1,1,2,0,0,0,1,2,0,0
6,0.275692,111,2,6,2,998,86,25.390655,62,252,24142.88477,1247.769287,2,1,55.1384,0.002,3567.119895,0.0,255,2213127160,2051712616,255,0.251058,0.101969,0.149089,166,43,0,0,6,3,3,3,1,5,0,0,0,4,5,0,0
7,0.001075,117,2,2,2,146,178,2790.69758,31,29,543255.8125,662325.5625,0,0,0.004,0.008,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,5,0,1,3,1,1,0,0,0,7,2,0,0
8,0.61564,111,3,10,6,534,268,24.364889,254,252,6250.40625,2910.791992,2,1,62.600889,108.476203,3400.075989,165.169547,255,3790253476,3557623133,255,0.174059,0.073253,0.100806,53,45,0,0,3,1,1,1,1,2,0,0,0,1,2,0,0
9,3.436867,111,3,10,8,916,354,4.946365,254,252,1920.353638,721.587402,2,1,377.372,482.261281,27250.6319,768.33575,255,1090738241,534323410,255,0.125443,0.061037,0.064406,92,44,0,0,7,1,3,1,1,6,0,0,0,2,8,0,0
10,2e-06,117,4,2,0,104,0,500000.0013,254,0,208000000.0,0.0,0,0,0.002,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,52,0,0,0,4,2,4,1,1,4,0,0,0,2,8,0,0
